Charging event,CP ID,Connector,Start Date,Start Time,End Date,End Time,Total kWh,Cost,Site,Group,Model
7309868,50692,2,04/06/2018,12:20,04/06/2018,12:46,8.21,0.0,"Dundee Ice Arena, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7309790,50262,1,04/06/2018,12:03,05/06/2018,08:24,0.0,,"Mitchell Street, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council; NCG,APT 7kW Dual Outlet
7309768,51547,2,04/06/2018,11:55,04/06/2018,12:34,14.164,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7309759,50911,2,04/06/2018,11:53,04/06/2018,12:28,9.61,0.0,"Queen Street Car Park, Broughty Ferry, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7309732,50234,1,04/06/2018,11:43,05/06/2018,09:36,9.88,,"Public Works Dept, Clepington Rd. Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7309691,50269,2,04/06/2018,11:30,04/06/2018,11:41,1.1,0.0,"Housing Office East, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7309692,51549,2,04/06/2018,11:30,04/06/2018,11:48,5.781,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7309684,50338,2,04/06/2018,11:28,04/06/2018,11:44,2.63,0.0,"Social Work Building, Jack Martin Way, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7309682,50238,1,04/06/2018,11:28,04/06/2018,11:45,0.0,0.0,"Public Works Dept, Clepington Rd. Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7309677,51203,2,04/06/2018,11:27,05/06/2018,09:15,10.44,,"Dundee House, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Single Outlet
7309663,50911,2,04/06/2018,11:22,04/06/2018,11:48,10.36,0.0,"Queen Street Car Park, Broughty Ferry, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7309631,51199,2,04/06/2018,11:06,04/06/2018,12:00,0.0,0.0,"Dundee House, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Single Outlet
7309618,50909,2,04/06/2018,11:02,04/06/2018,11:49,6.376,0.0,"South Tay Street, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 22kW Dual Outlet
7309588,51547,2,04/06/2018,10:51,04/06/2018,11:22,19.674,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7309577,51548,2,04/06/2018,10:46,04/06/2018,11:06,6.543,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7309569,50240,2,04/06/2018,10:42,04/06/2018,14:10,2.13,0.0,"Gellatly Street Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7309555,51550,2,04/06/2018,10:33,04/06/2018,11:02,14.643,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7309552,51549,2,04/06/2018,10:31,04/06/2018,10:57,15.25,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
