Charging event,CP ID,Connector,Start Date,Start Time,End Date,End Time,Total kWh,Cost,Site,Group,Model
7312368,50912,1,05/06/2018,09:50,,,,,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 22kW Dual Outlet
7312334,51548,2,05/06/2018,09:40,05/06/2018,10:07,11.21,,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7312321,50339,2,05/06/2018,09:37,05/06/2018,09:59,1.01,,"Public Works Dept, Clepington Rd. Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7312317,51088,2,05/06/2018,09:35,,,,,"Gellatly Street Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7312315,50523,2,05/06/2018,09:35,05/06/2018,10:07,3.29,,"Marchbanks, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7312308,50676,1,05/06/2018,09:34,,,,,"Olympia Multi-Storey Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7312301,51547,2,05/06/2018,09:31,05/06/2018,09:52,2.929,,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7312294,50911,2,05/06/2018,09:30,05/06/2018,09:46,11.68,,"Queen Street Car Park, Broughty Ferry, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7312289,51549,2,05/06/2018,09:27,05/06/2018,09:38,4.361,,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7312288,51088,1,05/06/2018,09:27,05/06/2018,09:46,3.152,,"Gellatly Street Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7312264,50677,1,05/06/2018,09:20,,,,,"Olympia Multi-Storey Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7312252,51550,2,05/06/2018,09:16,05/06/2018,09:38,10.074,,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7312243,51548,2,05/06/2018,09:14,05/06/2018,09:37,4.851,,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7312232,50349,2,05/06/2018,09:12,05/06/2018,10:12,30.44,,"Greenmarket Multi Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Dual Rapid Charger
7312218,50908,1,05/06/2018,09:09,,,,,"Trades Lane, Dundee",CYC; ChargePlace Scotland; Dundee City Council,APT 22kW Dual Outlet
7312214,50315,2,05/06/2018,09:08,,,,,"Greenmarket Multi Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7312201,51547,2,05/06/2018,09:06,05/06/2018,09:27,6.814,,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7312145,51086,1,05/06/2018,08:56,,,,,"Nethergate, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 22kW Dual Outlet
7312127,50675,2,05/06/2018,08:54,,,,,"Olympia Multi-Storey Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7312122,50911,2,05/06/2018,08:54,05/06/2018,09:15,13.55,,"Queen Street Car Park, Broughty Ferry, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7312084,51087,2,05/06/2018,08:44,05/06/2018,09:20,1.994,,"Queen Street Car Park, Broughty Ferry, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7312029,50676,2,05/06/2018,08:35,,,,,"Olympia Multi-Storey Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7312014,50269,2,05/06/2018,08:31,05/06/2018,10:51,0.27,,"Housing Office East, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7312001,50630,1,05/06/2018,08:28,,,,,"University of Dundee, Nethergate, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 22kW Dual Outlet
7311935,51087,1,05/06/2018,08:14,,,,,"Queen Street Car Park, Broughty Ferry, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7311922,50315,1,05/06/2018,08:12,05/06/2018,09:48,5.41,,"Greenmarket Multi Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7311907,51356,2,05/06/2018,08:10,,,,,"Gellatly Street Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7311704,51550,2,05/06/2018,07:29,05/06/2018,07:45,7.467,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7311673,51548,2,05/06/2018,07:21,05/06/2018,07:39,6.545,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7311674,51547,2,05/06/2018,07:21,05/06/2018,07:52,20.452,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7311661,50911,2,05/06/2018,07:19,05/06/2018,07:33,7.01,0.0,"Queen Street Car Park, Broughty Ferry, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7311648,50910,2,05/06/2018,07:12,05/06/2018,10:15,9.289,,"Dock Street, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 22kW Dual Outlet
7311614,50266,2,05/06/2018,07:04,,,,,"Menziehill House, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7311568,51548,2,05/06/2018,06:43,05/06/2018,06:57,9.183,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7311567,50238,2,05/06/2018,06:40,,,,,"Public Works Dept, Clepington Rd. Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7311564,50238,1,05/06/2018,06:38,,,,,"Public Works Dept, Clepington Rd. Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7311541,51548,2,05/06/2018,06:11,05/06/2018,06:23,3.635,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7311511,51548,2,05/06/2018,05:14,05/06/2018,06:02,20.546,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7311504,51547,2,05/06/2018,04:41,05/06/2018,05:00,7.43,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7311503,51548,2,05/06/2018,04:35,05/06/2018,05:04,16.783,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7311500,50911,2,05/06/2018,03:38,05/06/2018,04:00,11.22,0.0,"Queen Street Car Park, Broughty Ferry, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7311475,50913,2,05/06/2018,01:12,05/06/2018,07:31,12.194,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 22kW Dual Outlet
7311457,50911,2,05/06/2018,00:57,05/06/2018,01:30,12.86,0.0,"Queen Street Car Park, Broughty Ferry, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7311456,51550,2,05/06/2018,00:45,05/06/2018,01:23,18.753,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7311452,50349,2,05/06/2018,00:20,05/06/2018,00:42,15.5,0.0,"Greenmarket Multi Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Dual Rapid Charger
7311451,51548,2,05/06/2018,00:15,05/06/2018,00:44,21.207,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7312106,50912,2,04/06/2018,23:57,,,,,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 22kW Dual Outlet
7311447,50911,2,04/06/2018,23:45,04/06/2018,23:54,4.25,0.0,"Queen Street Car Park, Broughty Ferry, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7311441,51547,2,04/06/2018,23:22,04/06/2018,23:42,10.929,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7311438,50349,2,04/06/2018,23:11,04/06/2018,23:30,11.18,0.0,"Greenmarket Multi Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Dual Rapid Charger
7311435,51550,2,04/06/2018,23:08,04/06/2018,23:42,10.143,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7311432,51547,2,04/06/2018,22:57,04/06/2018,23:19,14.23,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7311414,50911,2,04/06/2018,22:20,04/06/2018,22:27,3.0,0.0,"Queen Street Car Park, Broughty Ferry, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7311389,50267,1,04/06/2018,21:47,05/06/2018,08:12,5.95,,"Social Work Building, Jack Martin Way, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7311387,50266,1,04/06/2018,21:43,05/06/2018,07:03,4.66,0.0,"Menziehill House, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7311384,51548,2,04/06/2018,21:42,04/06/2018,22:43,19.575,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7311369,51547,2,04/06/2018,21:14,04/06/2018,21:27,6.709,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7311362,51550,3,04/06/2018,21:01,04/06/2018,22:53,35.397,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7311357,50349,1,04/06/2018,20:58,04/06/2018,21:34,2.296,0.0,"Greenmarket Multi Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Dual Rapid Charger
7311351,51548,2,04/06/2018,20:55,04/06/2018,21:17,14.176,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7311339,51549,2,04/06/2018,20:43,04/06/2018,21:24,12.439,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7311317,50911,2,04/06/2018,20:32,04/06/2018,20:44,8.4,0.0,"Queen Street Car Park, Broughty Ferry, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7311321,51548,2,04/06/2018,20:30,04/06/2018,20:54,10.716,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7311300,50913,2,04/06/2018,20:14,04/06/2018,23:08,10.24,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 22kW Dual Outlet
7311296,51547,2,04/06/2018,20:11,04/06/2018,20:56,20.596,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7311279,51548,2,04/06/2018,19:56,04/06/2018,20:17,13.762,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7311241,50692,2,04/06/2018,19:34,04/06/2018,19:58,8.31,0.0,"Dundee Ice Arena, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7311222,50843,2,04/06/2018,19:22,05/06/2018,06:31,14.28,0.0,"Oakland Day Centre, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7311181,51087,1,04/06/2018,19:16,04/06/2018,21:26,6.832,0.0,"Queen Street Car Park, Broughty Ferry, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7311148,50911,2,04/06/2018,19:07,04/06/2018,19:45,8.97,0.0,"Queen Street Car Park, Broughty Ferry, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7311100,51548,2,04/06/2018,18:50,04/06/2018,19:33,12.938,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7311099,50263,1,04/06/2018,18:49,05/06/2018,08:55,0.0,,"Whitfield Centre, Dundee",CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7311079,50349,2,04/06/2018,18:44,04/06/2018,18:58,10.86,0.0,"Greenmarket Multi Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Dual Rapid Charger
7311027,50692,2,04/06/2018,18:19,04/06/2018,18:53,24.06,0.0,"Dundee Ice Arena, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7311000,50909,2,04/06/2018,18:12,04/06/2018,21:03,6.612,0.0,"South Tay Street, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 22kW Dual Outlet
7310965,50911,2,04/06/2018,17:58,04/06/2018,18:06,1.31,0.0,"Queen Street Car Park, Broughty Ferry, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7310916,51549,2,04/06/2018,17:44,04/06/2018,18:29,12.847,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7310905,50692,2,04/06/2018,17:42,04/06/2018,18:17,14.32,0.0,"Dundee Ice Arena, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7310892,50240,1,04/06/2018,17:38,05/06/2018,07:55,9.8,0.0,"Gellatly Street Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7310888,51548,2,04/06/2018,17:35,04/06/2018,18:10,13.129,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7310885,50911,2,04/06/2018,17:34,04/06/2018,17:47,7.75,0.0,"Queen Street Car Park, Broughty Ferry, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7310850,51549,2,04/06/2018,17:24,04/06/2018,17:38,7.367,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7310835,51547,2,04/06/2018,17:16,04/06/2018,17:33,11.876,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7310830,50268,2,04/06/2018,17:15,,,,,"Housing Office West, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7310829,51550,2,04/06/2018,17:12,04/06/2018,17:56,19.447,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7310816,51548,2,04/06/2018,17:09,04/06/2018,17:30,5.918,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7310776,51203,1,04/06/2018,16:53,,,,,"Dundee House, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Single Outlet
7310773,51086,2,04/06/2018,16:52,05/06/2018,09:02,2.07,,"Nethergate, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 22kW Dual Outlet
7310763,50912,1,04/06/2018,16:49,04/06/2018,21:42,20.573,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 22kW Dual Outlet
7310725,50236,1,04/06/2018,16:39,,,,,"Public Works Dept, Clepington Rd. Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7310723,51547,2,04/06/2018,16:38,04/06/2018,17:15,13.132,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7310706,51548,2,04/06/2018,16:27,04/06/2018,16:40,5.775,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7310703,51550,2,04/06/2018,16:26,04/06/2018,16:55,9.906,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7310680,50240,2,04/06/2018,16:18,05/06/2018,08:08,5.04,,"Gellatly Street Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7310671,51549,2,04/06/2018,16:15,04/06/2018,17:16,29.296,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7310656,51547,2,04/06/2018,16:08,04/06/2018,16:34,18.607,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7310647,50677,2,04/06/2018,16:07,04/06/2018,17:52,4.43,0.0,"Olympia Multi-Storey Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7310637,50230,1,04/06/2018,16:05,05/06/2018,08:33,13.37,,"Marchbanks, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7310633,50349,1,04/06/2018,16:03,04/06/2018,17:58,34.196,0.0,"Greenmarket Multi Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Dual Rapid Charger
7310606,51198,1,04/06/2018,15:55,,,,,"Dundee House, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Single Outlet
7310604,51088,2,04/06/2018,15:55,04/06/2018,17:13,7.351,0.0,"Gellatly Street Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7310599,51198,1,04/06/2018,15:54,04/06/2018,15:54,0.0,0.0,"Dundee House, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Single Outlet
7310582,50692,2,04/06/2018,15:51,04/06/2018,15:53,1.64,0.0,"Dundee Ice Arena, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7310577,51548,2,04/06/2018,15:49,04/06/2018,16:24,3.335,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7310576,50271,1,04/06/2018,15:49,04/06/2018,21:39,21.46,0.0,"Public Works Dept, Clepington Rd. Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7310551,50272,2,04/06/2018,15:39,05/06/2018,07:59,15.99,0.0,"Public Works Dept, Clepington Rd. Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7310516,50272,1,04/06/2018,15:27,05/06/2018,06:56,15.1,0.0,"Public Works Dept, Clepington Rd. Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7310509,51547,2,04/06/2018,15:26,04/06/2018,15:41,8.339,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7310494,51199,2,04/06/2018,15:22,05/06/2018,10:18,2.06,,"Dundee House, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Single Outlet
7310479,50230,2,04/06/2018,15:16,05/06/2018,07:33,8.23,0.0,"Marchbanks, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7310445,51199,1,04/06/2018,15:00,,,,,"Dundee House, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Single Outlet
7310422,50911,2,04/06/2018,14:53,04/06/2018,15:19,8.24,0.0,"Queen Street Car Park, Broughty Ferry, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7310418,50692,2,04/06/2018,14:52,04/06/2018,15:02,7.61,0.0,"Dundee Ice Arena, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7310407,51548,2,04/06/2018,14:49,04/06/2018,14:58,4.125,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7310396,50269,1,04/06/2018,14:45,,,,,"Housing Office East, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7310383,51088,2,04/06/2018,14:42,04/06/2018,15:29,4.523,0.0,"Gellatly Street Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7310361,51547,2,04/06/2018,14:32,04/06/2018,14:40,4.369,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7310356,50692,2,04/06/2018,14:31,04/06/2018,14:50,4.03,0.0,"Dundee Ice Arena, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7310332,51549,2,04/06/2018,14:22,04/06/2018,15:07,9.437,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7310333,51550,1,04/06/2018,14:22,04/06/2018,15:13,11.412,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
